ID,Votes,Title,Year,Released,Runtime,Genre,Director,Writer,Actors,Plot,Country,Awards,RT_Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,BoxOffice,Production
tt7983794,1573,Operation Odessa,2018,09 Mar 2018,95 min,Documentary,Tiller Russell,N/A,"Juan Almeida, Ludwig Fainberg, Richard Gregorie","From the director and producers of The Seven Five comes Operation Odessa, a true crime thriller about a Russian mobster, a Miami playboy and a Cuban spy who teamed up to sell a nuclear ...",N/A,N/A,100%,N/A,7.7,"1,528",tt7983794,movie,N/A,Showtime Documentary Films
tt7983844,3345,Take Your Pills,2018,16 Mar 2018,87 min,Documentary,Alison Klayman,N/A,"Eben Britton, Dr. Wendy Brown, Anjan Chatterjee","Every era gets the drug it deserves. In America today, where competition is ceaseless from school to the workforce and everyone wants a performance edge, Adderall and other prescription stimulants are the defining drugs of this generation.",USA,N/A,62%,54,6.4,"3,229",tt7983844,movie,N/A,Netflix
tt7986222,1584,Kolamavu Kokila,2018,16 Aug 2018,140 min,"Comedy, Crime, Drama",Nelson,N/A,"Nayanthara, Saranya Ponvannan, Saravanan, Yogi Babu","To save her mother from terminal cancer, a young girl gets herself involved with the drug trafficking mafia active in the small towns of Tamil Nadu.",India,N/A,,N/A,7.4,"1,530",tt7986222,movie,N/A,N/A
tt7999980,512,Koli 2.0,2018,27 Feb 2018,50 min,Crime,Abrar Athar,Abrar Athar,Nusrat Imroz Tisha,"When the brash son of a local mafia boss falls for the drug addicted troublemaker Koli, all hell breaks loose.",Bangladesh,N/A,,N/A,9.3,6,tt7999980,movie,N/A,N/A
tt8001346,1463,Asterix: The Secret of the Magic Potion,2018,05 Dec 2018,85 min,Animation,"Alexandre Astier, Louis Clichy","Alexandre Astier (scenario), René Goscinny (from the works of), Albert Uderzo (from the works of)","Christian Clavier, Guillaume Briat, Alex Lutz, Alexandre Astier","Following a fall during mistletoe picking, Druid Panoramix decides that it is time to secure the future of the village. Accompanied by Asterix and Obelix, he undertakes to travel the Gallic...",France,N/A,,N/A,7.0,"1,251",tt8001346,movie,N/A,N/A
tt8005366,911,Zhenshchiny protiv muzhchin: Krymskie kanikuly,2018,08 Feb 2018,80 min,Comedy,Leonid Margolin,"Yaroslav Lukashevich, Leonid Margolin, Dmitriy Presnetsov","Kseniya Bogdanova, Aleksandr Buleyko, David Dadunashvili, Gennadiy Egorov","Three couples, who are also friends, decide to get divorced at the same time. Men want to celebrate their freedom and go on a vacation to Crimea. It seems to be a dream vacation - three ...",Russia,N/A,,N/A,7.6,898,tt8005366,movie,N/A,N/A
tt8011276,1330,Laila Majnu,2018,07 Sep 2018,140 min,"Drama, Romance",Sajid Ali,"Imtiaz Ali, Sajid Ali","Avinash Tiwary, Tripti Dimri, Sumit Kaul, Abrar Qazi","Taking the leap out of the classic folklore, the story is set in today's time in Kashmir where Laila Majnu have problems relevant to the youth of today. While dealing with their feuding families a passionate love story unravels.",India,N/A,57%,N/A,7.9,"1,185",tt8011276,movie,N/A,ZEE Studios International
tt8011288,788,Goli Soda 2,2018,14 Jun 2018,128 min,Drama,Vijay Milton,Vijay Milton,"Samuthirakani, Gautham Menon, Bharath Seeni, Vinoth",Three young friends struggle to make it big in the real world.,India,N/A,,N/A,7.8,767,tt8011288,movie,N/A,Clap Board Production
tt8011324,540,Seethakaathi,2018,20 Dec 2018,173 min,Drama,Balaji Tharaneetharan,N/A,"Vijay Sethupathi, Archana, J. Mahendran, Ramya Nambeeshan","Seethakaathi is a story, that chronicles the journey of Ayya, a legendary stage performer. The film showcases how an artiste and his art are immortal.",India,N/A,,N/A,7.6,258,tt8011324,movie,N/A,Prime Media
tt8011328,1254,Seema Raja,2018,12 Sep 2018,158 min,"Action, Drama",Ponram,"Ponram (dialogue), Ponram (screenplay), Ponram (story)","Sivakarthikeyan, Samantha Ruth Prabhu, Soori, Simran",A youngster who belongs to a royal family needs to play saviour to his villagers.,India,N/A,,N/A,4.8,"1,212",tt8011328,movie,N/A,N/A
