Title,Year,Released,Runtime,Genre,Director,Writer,Actors,Plot,Country,Awards,RT_Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,BoxOffice,Production
Premio Donostia a Willem Dafoe,2005,18 Sep 2005,30 min,N/A,Manuel Palacios,Edurne Ormazábal,"Willem Dafoe, Edurne Ormazábal, Najwa Nimri, Woody Allen","Premio Donostia translates to The Donostia Award. It is an honorific award given every year to either one, two or several actors and occasionally to directors in the San Sebastián ...",Spain,N/A,,N/A,6.0,81,tt0480712,movie,N/A,N/A
The European Film Awards,1999,04 Dec 1999,N/A,N/A,N/A,N/A,"Pedro Almodóvar, Antonio Banderas, Annette Bening, Carole Bouquet",N/A,Germany,N/A,,N/A,7.5,13,tt0876448,movie,N/A,N/A
A House in the Sky,2015,N/A,N/A,Drama,N/A,"Sara Corbett, Amanda Lindhout (memoir)",Rooney Mara,A young journalist is captured in Somalia and held in captivity for more than a year.,USA,N/A,,N/A,N/A,N/A,tt3829056,movie,N/A,N/A
"Don't Worry, He Won't Get Far on Foot",2018,04 Apr 2018,114 min,"Biography, Comedy, Drama",Gus Van Sant,"John Callahan (based on the book by), John Callahan (story by), Gus Van Sant (story by), Jack Gibson (story by), William Andrew Eatman (story by), Gus Van Sant (screenplay by)","Joaquin Phoenix, Jonah Hill, Rooney Mara, Jack Black","On the rocky path to sobriety after a life-changing accident, John Callahan discovers the healing power of art, willing his injured hands into drawing hilarious, often controversial cartoons, which bring him a new lease on life.","France, USA",2 nominations.,77%,67,6.9,"14,049",tt6288124,movie,N/A,Amazon Studios
A Ghost Story,2017,27 Jul 2017,92 min,"Drama, Fantasy, Romance",David Lowery,David Lowery,"Casey Affleck, Rooney Mara, McColm Cephas Jr., Kenneisha Thompson","In this singular exploration of legacy, love, loss, and the enormity of existence, a recently deceased, white-sheeted ghost returns to his suburban home to try to reconnect with his bereft wife.",USA,11 wins & 17 nominations.,91%,84,6.8,"46,078",tt6265828,movie,"$1,594,798",Ideaman Studios
Una,2016,01 Sep 2017,94 min,"Drama, Romance",Benedict Andrews,"David Harrower (based on his play ""Blackbird"")","Ruby Stokes, Rooney Mara, David Shields, Ben Mendelsohn","A woman confronts an older man, her former neighbour, to find out why he abandoned her after they had a sexual relationship.","UK, Canada, USA",3 nominations.,75%,62,6.2,"7,794",tt2315582,movie,N/A,Swen Releasing
Side Effects,2013,08 Feb 2013,106 min,"Crime, Drama, Mystery, Thriller",Steven Soderbergh,Scott Z. Burns,"Rooney Mara, Carmen Pelaez, Marin Ireland, Channing Tatum",A young woman's world unravels when a drug prescribed by her psychiatrist has unexpected side effects.,USA,5 nominations.,82%,75,7.1,"168,252",tt2053463,movie,"$32,154,410",Open Road Films
The Social Network,2010,01 Oct 2010,120 min,"Biography, Drama",David Fincher,"Aaron Sorkin (screenplay), Ben Mezrich (book)","Jesse Eisenberg, Rooney Mara, Bryan Barter, Dustin Fitzsimons","Harvard student Mark Zuckerberg creates the social networking site. That would become known as Facebook but is later sued by two brothers who claimed he stole their idea, and the co-founder who was later squeezed out of the business.",USA,Won 3 Oscars. Another 165 wins & 168 nominations.,95%,95,7.7,"567,207",tt1285016,movie,"$96,400,000",Columbia Pictures
Tanner Hall,2009,15 Jan 2015,96 min,"Drama, Romance","Francesca Gregorini, Tatiana von Fürstenberg","Tatiana von Fürstenberg, Francesca Gregorini","Rooney Mara, Georgia King, Brie Larson, Amy Ferguson","Tanner Hall is a vivid peek into the private world of an all-girls boarding school. In a cozy, but run-down New England, the knot of adolescent complexity is unraveled through the coming-of-age stories of four teenage girls.",USA,2 wins.,16%,40,5.8,"3,012",tt1151410,movie,"$5,005",Anchor Bay Films
Dare,2009,05 May 2011,92 min,"Drama, Romance",Adam Salky,David Brind,"Emmy Rossum, Cady Huffman, Ashley Springer, Matthew Garrick","A drama centered around three high school seniors - an aspiring actress, her misfit best friend, and a loner - who become engaged in an intimate and complicated relationship.",USA,2 wins & 1 nomination.,57%,54,5.9,"3,904",tt1241316,movie,N/A,Image Entertainment
The Cleaner,2008–2009,15 Jul 2008,60 min,Drama,N/A,"Robert Munic, Jonathan Prince","Grace Park, Benjamin Bratt, Amy Price-Francis, Esteban Powell",A guy transforms his life by taking control over his addictions and using his story to help others.,USA,Nominated for 1 Primetime Emmy. Another 2 wins & 6 nominations.,,N/A,7.1,"1,583",tt1103973,series,,
Women's Murder Club,2007–2008,12 Oct 2007,60 min,"Crime, Drama, Mystery",N/A,"Elizabeth Craft, Sarah Fain","Angie Harmon, Laura Harris, Paula Newsome, Aubrey Dollar","A homicide detective, a medical examiner, a newspaper reporter and a young assistant district attorney work together to solve homicide investigations.",USA,1 nomination.,,N/A,7.3,"2,167",tt0955353,series,,
Urban Legends: Bloody Mary,2005,19 Jul 2005,93 min,"Horror, Thriller",Mary Lambert,"Michael Dougherty, Dan Harris","Kate Mara, Robert Vito, Tina Lifford, Ed Marinaro","On a prom-night dare, a trio of high school friends chant an incantation, unleashing an evil spirit from the past with deadly consequences.",USA,1 nomination.,40%,N/A,4.3,"7,228",tt0451957,movie,N/A,Sony Pictures Entertainment
The One I Love,2014,08 Aug 2014,91 min,"Drama, Fantasy, Mystery, Romance, Sci-Fi, Thriller",Charlie McDowell,Justin Lader,"Mark Duplass, Elisabeth Moss, Ted Danson, Kiana Cason","A troubled couple vacate to a beautiful getaway, but bizarre circumstances further complicate their situation.",USA,2 wins & 2 nominations.,81%,66,7.1,"30,878",tt2756032,movie,"$511,635",Radius-TWC
The Truth About Emanuel,2013,10 Jan 2014,95 min,"Drama, Thriller",Francesca Gregorini,"Francesca Gregorini (screenplay), Sarah Thorp (story), Francesca Gregorini (story)","Kaya Scodelario, Jessica Biel, Frances O'Connor, Aneurin Barnard","A troubled girl becomes preoccupied with her mysterious new neighbor, who bears a striking resemblance to her dead mother.",USA,5 wins & 1 nomination.,34%,41,6.0,"7,963",tt1838520,movie,N/A,Tribeca Films. Well Go USA
XX,2017,17 Feb 2017,80 min,Horror,"Roxanne Benjamin, Karyn Kusama, St. Vincent, Jovanka Vuckovic","Jovanka Vuckovic (written for the screen by), Jack Ketchum (based on the story written by), Roxanne Benjamin, St. Vincent, Roxanne Benjamin, Karyn Kusama","Natalie Brown, Jonathan Watton, Peter DaCunha, Peyton Kennedy",Four short horror films that are directed and written by women.,"Canada, USA",1 nomination.,71%,64,4.6,"9,682",tt3322892,movie,"$30,611",XYZ Films
Dominion,2018,10 Jun 2018,120 min,Documentary,Chris Delforce,Chris Delforce,"Joaquin Phoenix, Rooney Mara, Sia, Sadie Sink","Dominion uses drones, hidden and handheld cameras to expose the dark underbelly of modern animal agriculture, questioning the morality and validity of humankind's dominion over the animal kingdom.",Australia,N/A,,N/A,9.3,"1,010",tt5773402,movie,N/A,N/A
The Behind the Scenes of 'Side Effects',2013,21 May 2013,3 min,Short,N/A,N/A,"Jude Law, Rooney Mara, Catherine Zeta-Jones",N/A,USA,N/A,,N/A,N/A,N/A,tt5445358,movie,N/A,N/A
"The Girl with the Dragon Tattoo: Characters - Salander, Blomkvist and Vanger",2012,20 Mar 2012,86 min,Documentary,David Prior,N/A,"Daniel Craig, Rooney Mara, Stellan Skarsgård","Cast and crew, including Mara, discuss her casting. They speak on her previous work with Fincher in The Social Network, preparations for rehearsal, the physical and emotional changes ...",USA,N/A,,N/A,N/A,N/A,tt5299940,movie,N/A,N/A
The Girl with the Dragon Tattoo: On Location - Sweden and Hollywood,2012,20 Mar 2012,98 min,Documentary,David Prior,N/A,"Daniel Craig, Rooney Mara","A look at the necessity of shooting in Sweden, with emphasis on the country's culture, history, climate, and politics as they play central to the story-line. Also examined is the country's ...",USA,N/A,,N/A,N/A,N/A,tt5299970,movie,N/A,N/A
How Did They Ever Make a Movie of Facebook?,2011,11 Jan 2011,93 min,Documentary,David Prior,N/A,"Aaron Sorkin, Jesse Eisenberg, Andrew Garfield, Rooney Mara",A detailed look to the making of 'The Social Network' along with the interviews from the cast and the crew including behind the scenes.,USA,N/A,,N/A,7.8,106,tt1859505,movie,N/A,N/A
Mary Magdalene,2018,16 Mar 2018,120 min,Drama,Garth Davis,"Helen Edmundson, Philippa Goslett","Rooney Mara, Joaquin Phoenix, Chiwetel Ejiofor, Tahar Rahim",The story of Mary Magdalene.,"UK, Australia, USA",N/A,45%,48,5.8,"5,774",tt5360996,movie,N/A,IFC Films
The Discovery,2017,31 Mar 2017,102 min,"Drama, Romance, Sci-Fi, Thriller",Charlie McDowell,"Charlie McDowell, Justin Lader","Robert Redford, Mary Steenburgen, Brian McCarthy, Jason Segel","Two years after the afterlife is scientifically proven, a man attempts to help a young woman break away from her dark past.",USA,N/A,45%,54,6.3,"24,459",tt5155780,movie,N/A,Netflix
The Secret Scripture,2016,13 Oct 2017,108 min,"Drama, Romance",Jim Sheridan,"Sebastian Barry (based on the novel by), Jim Sheridan, Johnny Ferguson","Rooney Mara, Eric Bana, Aidan Turner, Theo James",A woman keeps a diary of her extended stay at a mental hospital.,Ireland,1 win.,36%,37,6.7,"5,006",tt3344694,movie,N/A,Apollo Media
Kubo and the Two Strings,2016,19 Aug 2016,101 min,"Animation, Action, Adventure, Family, Fantasy",Travis Knight,"Marc Haimes (screenplay by), Chris Butler (screenplay by), Shannon Tindle (story by), Marc Haimes (story by)","Art Parkinson, Charlize Theron, Brenda Vaccaro, Cary-Hiroyuki Tagawa",A young boy named Kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past.,USA,Nominated for 2 Oscars. Another 33 wins & 60 nominations.,97%,84,7.8,"105,512",tt4302938,movie,"$48,019,281",Focus Features
Pan,2015,09 Oct 2015,111 min,"Adventure, Comedy, Family, Fantasy",Joe Wright,"Jason Fuchs, J.M. Barrie (characters)","Hugh Jackman, Levi Miller, Garrett Hedlund, Rooney Mara","Twelve-year-old orphan Peter is spirited away to the magical world of Neverland, where he finds both fun and danger, and ultimately discovers his destiny -- to become the hero who will be for ever known as Peter Pan.","USA, UK, Australia",8 nominations.,27%,36,5.8,"55,766",tt3332064,movie,"$35,914,825",Warner Bros.
Trash,2014,09 Oct 2015,114 min,"Adventure, Crime, Drama, Mystery, Thriller","Stephen Daldry, Christian Duurvoort(co-director)","Andy Mulligan (based on the novel by), Felipe Braga (additional material), Richard Curtis (screenplay by)","Rickson Tevez, Wagner Moura, José Dumont, Daniel Zettel","Set in Brazil, three kids who make a discovery in a garbage dump soon find themselves running from the cops and trying to right a terrible wrong.","UK, Brazil, Germany",Nominated for 1 BAFTA Film Award. Another 2 wins & 4 nominations.,66%,50,7.2,"18,577",tt1921149,movie,"$10,230",Focus Features
Calvin Klein: Downtown,2013,09 Jul 2013,1 min,Short,David Fincher,N/A,Rooney Mara,"Black and white promotional video of the new female fragrance Calvin Klein. In the main role starred actress Rooney Mara, and the director of the movie is David Fincher. What is the aroma ...",USA,N/A,,N/A,7.4,22,tt6928750,movie,N/A,N/A
Ain't Them Bodies Saints,2013,16 Aug 2013,96 min,"Crime, Drama, Romance",David Lowery,David Lowery,"Rooney Mara, Casey Affleck, Ben Foster, Keith Carradine",The tale of an outlaw who escapes from prison and sets out across the Texas hills to reunite with his wife and the daughter he has never met.,USA,4 wins & 12 nominations.,78%,74,6.4,"19,418",tt2388637,movie,"$200,000",IFC Films
A Nightmare on Elm Street,2010,30 Apr 2010,95 min,"Crime, Drama, Horror, Mystery",Samuel Bayer,"Wesley Strick (screenplay), Eric Heisserer (screenplay), Wesley Strick (story), Wes Craven (characters)","Jackie Earle Haley, Kyle Gallner, Rooney Mara, Katie Cassidy","The spectre of a dead child rapist haunts the children of the parents who murdered him, stalking and killing them in their dreams.",USA,2 wins & 11 nominations.,15%,35,5.2,"85,261",tt1179056,movie,"$63,100,000",Warner Bros. Pictures
Youth in Revolt,2009,08 Jan 2010,90 min,"Comedy, Drama, Romance",Miguel Arteta,"Gustin Nash (screenplay), C.D. Payne (novel)","Michael Cera, Portia Doubleday, Jean Smart, Zach Galifianakis","While his trailer trash parents teeter on the edge of divorce, Nick Twisp sets his sights on dream girl Sheeni Saunders, hoping that she'll be the one to take away his virginity.",USA,1 win & 1 nomination.,66%,63,6.5,"70,258",tt0403702,movie,"$15,150,933",The Weinstein Company
Friends (With Benefits),2009,05 Jul 2010,94 min,"Comedy, Romance",Gorman Bechard,"Gorman Bechard, Ashley McGarry","Margaret Laney, Alex Brown, Anne Petersen, Jake Alexander","Meet Chloe and Owen: best buds since their sandbox days. Now, in med school as they attempt to balance the weight of their studies, his job, her band, their parents, their friends (their ...",USA,3 wins.,68%,N/A,5.4,325,tt0896811,movie,"$55,802,754",Sony/Screen Gems
The Winning Season,2009,19 Jan 2009,104 min,"Comedy, Sport",Jim Strouse,Jim Strouse,"Sam Rockwell, Emma Roberts, Rob Corddry, Emily Rios",A comedy centered on a has-been coach who is given a shot at redemption when he's asked to run his local high school's girls basketball team.,USA,N/A,50%,53,6.6,"5,566",tt1293842,movie,N/A,Roadside Attractions
Dream Boy,2008,11 Dec 2008,88 min,"Drama, Romance",James Bolton,"James Bolton, Jim Grimsley (based on the novel by)","Stephan Bender, Thomas Jay Ryan, Diana Scarwid, Tom Gilroy",Chronicles the relationship between two gay teenagers in the rural south in the late '70s.,USA,2 wins.,,N/A,6.1,"3,543",tt0889595,movie,N/A,Regent Releasing
The Girl with the Dragon Tattoo: Men Who Hate Women,2012,20 Mar 2012,7 min,Short,David A. Prior,N/A,"Steven Berkoff, Daniel Craig, David Fincher, Rooney Mara","Cast and crew discuss the success of the novel, transitioning it to film and condensing it for the medium, and gender dynamics in Sweden.",USA,N/A,,N/A,7.4,32,tt5280624,movie,N/A,N/A
The Vanger Archives,2012,20 Mar 2012,240 min,Documentary,David Prior,N/A,"Daniel Craig, Rooney Mara, Stellan Skarsgård",N/A,USA,N/A,,N/A,8.9,12,tt2310189,movie,N/A,N/A
Harry Potter: Hogwarts Mystery,2018,25 Apr 2018,N/A,Action,Chris DeWolfe,J.K. Rowling (based on characters created by),"Maggie Smith, Michael Gambon, Warwick Davis, Sally Mortemore",You are a brand new student at Hogwarts many years before Harry Potter became a student. Your brother has gone missing after becoming disgraced and people think you are just like him. So ...,USA,N/A,,N/A,5.7,42,tt8242058,game,N/A,N/A
Downton Abbey,2010–2015,09 Jan 2011,58 min,"Drama, Romance",N/A,Julian Fellowes,"Hugh Bonneville, Laura Carmichael, Jim Carter, Brendan Coyle",A chronicle of the lives of the British aristocratic Crawley family and their servants in the early 20th Century.,UK,Won 3 Golden Globes. Another 54 wins & 217 nominations.,,N/A,8.7,"141,366",tt1606375,series,,
Quartet: Deleted Scenes,2013,N/A,6 min,Short,N/A,N/A,"Shola Adewusi, Michael Byrne, Pauline Collins, Billy Connolly",N/A,UK,N/A,,N/A,N/A,N/A,tt6381650,movie,N/A,N/A
Gnomeo & Juliet,2011,11 Feb 2011,84 min,"Animation, Adventure, Comedy, Family, Romance",Kelly Asbury,"Rob Sprackling (story), Johnny Smith (story), Andy Riley (story), Kevin Cecil (story), Kelly Asbury (story), Steve Hamilton Shaw (story), Andy Riley (screenplay), Kevin Cecil (screenplay), Mark Burton (screenplay), Emily Cook (screenplay), Kathy Greenberg (screenplay), Steve Hamilton Shaw (screenplay), Kelly Asbury (screenplay), Rob Sprackling (original screenplay), Johnny Smith (original screenplay), William Shakespeare (play), Arthur Brooke","James McAvoy, Emily Blunt, Ashley Jensen, Michael Caine","Separated by a garden fence and a feud, are blue gnomes on one side and red gnomes on the other. This doesn't stop blue Gnomeo and red Juliet from falling in love with each other. Do they have a future together?","UK, USA, Canada",Nominated for 1 Golden Globe. Another 1 win & 10 nominations.,56%,53,6.0,"49,506",tt0377981,movie,"$99,808,609",Touchstone Pictures
From Time to Time,2009,24 Sep 2010,92 min,"Adventure, Drama, Fantasy",Julian Fellowes,"Lucy M. Boston (novel), Julian Fellowes (adaptation)","Alex Etel, Timothy Spall, Maggie Smith, Christopher Villiers","A haunting ghost story spanning two worlds, more than a century apart. When 13-year-old Tolly finds he can mysteriously travel between the two, he begins an adventure that unlocks family secrets laid buried for generations.",UK,3 wins & 1 nomination.,43%,N/A,6.7,"4,055",tt1031241,movie,N/A,Freestyle Digital Media
Capturing Mary,2007,12 Nov 2007,105 min,Drama,Stephen Poliakoff,Stephen Poliakoff,"Maggie Smith, Ruth Wilson, David Walliams, Danny Lee Wynter","A young man ushers an older woman into a dark exploration of her past - back to the time when, as a young girl, she met a stranger who affected her life forever.","UK, USA",Nominated for 1 Primetime Emmy. Another 1 win & 5 nominations.,,N/A,7.0,"1,383",tt0899052,movie,N/A,BBC
Keeping Mum: Funnies,2006,N/A,6 min,"Short, Comedy",N/A,N/A,"Rowan Atkinson, Tamsin Egerton, Emilia Fox, Vivienne Moore",N/A,UK,N/A,,N/A,7.8,31,tt3907136,movie,N/A,N/A
Gosford Park: Deleted Scenes,2002,N/A,20 min,"Short, Mystery",N/A,N/A,"Eileen Atkins, Kelly Macdonald, Helen Mirren, Clive Owen",N/A,UK,N/A,,N/A,N/A,N/A,tt5564586,movie,N/A,N/A
All the King's Men,1999,20 Feb 2000,109 min,"Drama, Mystery, War",Julian Jarrold,"Alma Cullen, Nigel McCrery (novel)","David Jason, Maggie Smith, William Ash, Sonya Walger","Feature-length drama about the mystery of Sandringham Company, which disappeared in action at Gallipoli in 1915. Commanded by Captain Frank Beck, their estate manager, the men advanced into...","UK, USA",1 win & 1 nomination.,,N/A,7.1,794,tt0220969,movie,N/A,WGBH Boston Video
The Secret Garden,1993,13 Aug 1993,101 min,"Drama, Family, Fantasy",Agnieszka Holland,"Frances Hodgson Burnett (book), Caroline Thompson (screenplay)","Kate Maberly, Heydon Prowse, Andrew Knott, Maggie Smith","A young, recently-orphaned girl is sent to England after living in India all her life. Once there, she begins to explore her new, seemingly-isolated surroundings -- and its secrets.","USA, UK",Nominated for 1 BAFTA Film Award. Another 3 wins & 5 nominations.,88%,74,7.3,"33,155",tt0108071,movie,N/A,WARNER BROTHERS PICTURES
Talking Heads,1987–,19 Apr 1988,N/A,Drama,N/A,N/A,"Alan Bennett, Stephanie Cole, Thora Hird, Patricia Routledge","Six monologues tell the stories of six different repressed souls: a man dominated by his mother, a vicar's wife, an inveterate letter writer, a hopeful actress, a recently widowed woman, ...",UK,2 wins & 10 nominations.,,N/A,8.6,236,tt0092462,series,,
Lily in Love,1984,19 Apr 1985,90 min,Comedy,Károly Makk,Frank Cucci,"Christopher Plummer, Maggie Smith, Elke Sommer, Adolph Green","Broadway star Fitzroy Wynn is thrilled when his wife Lily writes a new script with a brilliant lead role. While ego-centric Fitz thinks himself perfect for the role, Lily dashes his hopes ...","Hungary, USA",N/A,,N/A,5.9,131,tt0089365,movie,N/A,Mafilm
Better Late Than Never,1983,15 Apr 1983,89 min,Comedy,Bryan Forbes,"Gwen Davis (story), Bryan Forbes","David Niven, Art Carney, Maggie Smith, Catherine Hicks",Two men show up claiming to be the grandfather of a child heiress.,"UK, Hong Kong",N/A,,N/A,5.7,90,tt0083647,movie,N/A,N/A
Evil Under the Sun,1982,05 Mar 1982,117 min,"Drama, Mystery",Guy Hamilton,Anthony Shaffer (screenplay),"Peter Ustinov, Colin Blakely, Jane Birkin, Nicholas Clay","Trying to find how a millionaire wound up with a phony diamond brings Hercule Poirot (Sir Peter Ustinov) to an exclusive island resort frequented by the rich and famous. When a murder is committed, everyone has an alibi.",UK,1 nomination.,86%,61,7.1,"11,932",tt0083908,movie,N/A,Universal Pictures
Quartet,1981,25 Oct 1981,101 min,"Drama, Romance",James Ivory,"Jean Rhys (novel), Ruth Prawer Jhabvala (screenplay), Michel Maingois (French dialogue)","Isabelle Adjani, Suzanne Flon, Sébastien Floche, Anthony Higgins","Marya finds herself penniless after her art dealer husband, Stephan, is convicted of theft. Marya accepts the hospitality of a strange couple, H.J. and Lois Heidler, who lets her live in their house.","UK, France",Nominated for 1 BAFTA Film Award. Another 2 wins & 1 nomination.,60%,N/A,6.5,"1,072",tt0082964,movie,N/A,New World Pictures
Death on the Nile,1978,29 Sep 1978,140 min,"Crime, Drama, Mystery",John Guillermin,Anthony Shaffer (screenplay),"Peter Ustinov, Jane Birkin, Lois Chiles, Bette Davis","As Hercule Poirot (Sir Peter Ustinov) enjoys a luxurious cruise down the Nile, a newlywed heiress is found murdered on board. Can Poirot identify the killer before the ship reaches the end of its journey?",UK,Won 1 Oscar. Another 4 wins & 5 nominations.,82%,N/A,7.3,"24,696",tt0077413,movie,N/A,EMI Films Ltd.
Love and Pain and the Whole Damn Thing,1973,01 Apr 1973,110 min,"Comedy, Drama",Alan J. Pakula,Alvin Sargent,"Maggie Smith, Timothy Bottoms, Don Jaime de Mora y Aragón, Emiliano Redondo","American Walter Elbertson, in his late teens, is feeling lost within his family of overachievers. Thirty-something Englishwoman Lila Fisher is emotionally repressed. The two meet on their ...",USA,N/A,,N/A,7.0,678,tt0068850,movie,N/A,Columbia Pictures
The Prime of Miss Jean Brodie,1969,25 Feb 1969,116 min,"Drama, Romance",Ronald Neame,"Muriel Spark (adapted from the novel by), Jay Presson Allen (based on the play by), Jay Presson Allen (screenplay)","Maggie Smith, Robert Stephens, Pamela Franklin, Gordon Jackson",A headstrong young teacher in a private school in 1930s Edinburgh ignores the curriculum and influences her impressionable 12 year old charges with her over-romanticized world view.,UK,Won 1 Oscar. Another 5 wins & 10 nominations.,88%,N/A,7.6,"7,724",tt0064840,movie,N/A,20th Century Fox Film Corporation
The Honey Pot,1967,29 Sep 1967,125 min,"Comedy, Crime",Joseph L. Mankiewicz,"Frederick Knott (play), Thomas Sterling (novel), Ben Jonson (play), Joseph L. Mankiewicz (written for the screen by)","Rex Harrison, Susan Hayward, Cliff Robertson, Capucine","In Venice, a millionaire hires an actor to help him prank three greedy ex-girlfriends into thinking he's dying and leaving his fortune to one of them.","USA, Italy",N/A,50%,N/A,7.0,"1,877",tt0061780,movie,N/A,United Artists
Othello,1965,03 May 1966,165 min,Drama,Stuart Burge,William Shakespeare (play),"Robert Lang, Frank Finlay, Anthony Nicholls, Laurence Olivier",A General's marriage is destroyed when a vengeful Lieutenant convinces him that his new wife has been unfaithful.,UK,Nominated for 4 Oscars. Another 1 win & 6 nominations.,80%,N/A,7.3,"1,228",tt0059555,movie,N/A,N/A
The Pumpkin Eater,1964,09 Nov 1964,118 min,Drama,Jack Clayton,"Penelope Mortimer (novel), Harold Pinter (screenplay)","Anne Bancroft, Peter Finch, James Mason, Janine Gray","Film screenwriter Jake Armitage and his wife Jo Armitage live in London with six of Jo's eight children, with the two eldest boys at boarding school. The children are spread over Jo's three...",UK,Nominated for 1 Oscar. Another 6 wins & 5 nominations.,67%,N/A,7.3,"1,668",tt0058500,movie,N/A,Sony Pictures Entertainment
Go to Blazes,1962,01 Apr 1962,80 min,Comedy,Michael Truman,"Patrick Campbell (screenplay), Ronald Cass (story and adaptation), Vivienne Knight (screenplay), Peter Myers (story and adaptation)","Dave King, Robert Morley, Daniel Massey, Dennis Price","After yet another smash-and-grab goes wrong, a bungling trio of small-time crooks flash an idea of using a fire engine as a getaway vehicle. But they keep being mistaken for genuine firemen and it starts to become a flaming nuisance.",UK,N/A,,N/A,5.7,114,tt0056032,movie,N/A,N/A
ITV Television Playhouse,1955–1967,24 Sep 1955,60 min,Drama,N/A,N/A,"Campbell Singer, Thomas Heathcote, Dinsdale Landen, Miriam Karlin",N/A,UK,N/A,,N/A,8.5,23,tt0441950,series,,
Kraft Theatre,1947–1958,07 May 1947,60 min,Drama,N/A,N/A,"Ed Herlihy, Vaughn Taylor, Valerie Cossart, E.G. Marshall",A well-received anthology series presenting live television dramas.,USA,Won 2 Primetime Emmys. Another 1 win & 8 nominations.,,N/A,8.2,98,tt0039123,series,,
Child in the House,1956,14 Aug 1956,90 min,Drama,"Cy Endfield, Cy Endfield","Janet McNeill (novel), Aubrey Danvers Walker (additional dialogue), Cy Endfield (screenplay)","Phyllis Calvert, Eric Portman, Stanley Baker, Mandy Miller","Young Elizabeth is left with her relatives, a married couple, while her mother is in hospital. The friendly husband likes her, but the wife hates kids. Her father, an often absent crook on the lam, visits her in secret one day.",UK,N/A,,N/A,6.6,68,tt0049067,movie,N/A,VCI Entertainment
BBC Sunday-Night Theatre,1950–1959,01 Jan 1950,N/A,Drama,N/A,N/A,"Richard Caldicot, George Woodbridge, Brian Rix, Michael Brennan",Series of television plays performed live.,UK,N/A,,N/A,7.8,43,tt0989125,series,,
A Private Function,1984,01 Mar 1985,92 min,Comedy,Malcolm Mowbray,"Alan Bennett, Alan Bennett (story), Malcolm Mowbray (story)","Michael Palin, Maggie Smith, Denholm Elliott, Richard Griffiths","In post-war Britain, food rationing continues, leading a married couple to become involved in the flourishing bacon black market.",UK,Won 3 BAFTA Film Awards. Another 3 wins & 3 nominations.,88%,N/A,6.6,"2,288",tt0089838,movie,N/A,Island Alive
Travels with My Aunt,1972,22 Feb 1973,108 min,"Adventure, Comedy",George Cukor,"Jay Presson Allen (screenplay), Hugh Wheeler (screenplay), Graham Greene (novel)","Maggie Smith, Alec McCowen, Louis Gossett Jr., Robert Stephens","At his mother's funeral, stuffy bank clerk Henry Pulling meets his Aunt Augusta, an elderly eccentric with more-than-shady dealings who pulls him along on a whirlwind adventure as she ...",USA,Won 1 Oscar. Another 10 nominations.,50%,N/A,6.4,"1,683",tt0069404,movie,N/A,MGM
1 a Minute,2010,06 Oct 2010,90 min,"Documentary, Drama",Namrata Singh Gujral,Namrata Singh Gujral,"Kelly McGillis, Olivia Newton-John, Namrata Singh Gujral, Jaclyn Smith","The film chronicles the diagnosis and treatment of a breast cancer survivor, interspersed with personal tales from famous international celebrities who are also survivors, or affected closely by cancer.",USA,N/A,,N/A,7.8,134,tt1489877,movie,N/A,Warner Home Video
The Evening Standard Theatre Awards 2016,2016,14 Nov 2016,N/A,Reality-TV,N/A,N/A,"David Attenborough, Orlando Bloom, Kenneth Branagh, Rob Brydon",N/A,UK,N/A,,N/A,N/A,N/A,tt6602682,movie,N/A,N/A
Robin & Mark & Richard III,2016,01 Apr 2016,58 min,"Documentary, Biography","Martha Burns, Susan Coyne",N/A,"Christine Horne, Mark McKinney","'Robin & Mark & Richard III' is the story of an unusual collaboration between master theatre director, Robin Phillips, and gifted comedian, Mark McKinney. Over two years, they dive into the...","Canada, UK",N/A,,N/A,N/A,N/A,tt5676740,movie,N/A,N/A
The Lady in the Van: Playing the Lady - Maggie Smith as Miss Shepherd,2016,07 Mar 2016,6 min,"Documentary, Short",N/A,N/A,"Nicholas Hytner, Alex Jennings, Maggie Smith",N/A,UK,N/A,,N/A,7.4,7,tt5567214,movie,N/A,N/A
Rod Taylor: Pulling No Punches,2016,11 Feb 2016,80 min,Biography,Robert de Young,"Stephan Wellink, Robert de Young","Maggie Smith, Angela Lansbury, Tippi Hedren, Baz Luhrmann",N/A,Australia,N/A,,N/A,N/A,N/A,tt3301004,movie,N/A,N/A
BAFTA Celebrates Downton Abbey,2015,21 Dec 2015,60 min,N/A,Julia Knowles,Jez Stevenson,"Jonathan Ross, Hugh Bonneville, Laura Carmichael, Jim Carter",N/A,UK,N/A,,N/A,N/A,N/A,tt7168284,movie,N/A,N/A
Text Santa 2014,2014,19 Dec 2014,N/A,"Comedy, Game-Show, Talk-Show","Matthew Cox, Matt Hilton",N/A,"Alicya Eyo, Jeff Hordley, Pauline Quirke, Linda Robson",The annual Text Santa on ITV to support UK charities during the Christmas period.,UK,N/A,,N/A,6.0,68,tt4307936,movie,N/A,N/A
Quartet: Behind the Scenes Featurettes: Dustin,2013,N/A,4 min,Short,N/A,N/A,"Pauline Collins, Billy Connolly, Tom Courtenay, Maggie Smith",N/A,UK,N/A,,N/A,N/A,N/A,tt6381714,movie,N/A,N/A
