Title,Year,Released,Runtime,Genre,Director,Writer,Actors,Plot,Country,Awards,RT_Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,BoxOffice,Production
Eve,2008,17 Oct 2008,17 min,"Short, Comedy, Romance",Natalie Portman,Natalie Portman,"Lauren Bacall, Ben Gazzara, Olivia Thirlby, Rich Delia","Kate is a young woman visiting her grandmother to talk about her mother ""Eve"" but instead she surprisingly ends up as both chauffeur and chaperone on her grandmother's romantic dinner date with a widower named Joe.",USA,N/A,,N/A,6.7,139,tt1278345,movie,N/A,N/A
Cloud Atlas,2012,26 Oct 2012,172 min,"Action, Drama, Mystery, Sci-Fi","Tom Tykwer, Lana Wachowski, Lilly Wachowski","David Mitchell (novel), Lana Wachowski (written for the screen by), Tom Tykwer (written for the screen by), Lilly Wachowski (written for the screen by), Chris Lindsay (additional material)","Tom Hanks, Halle Berry, Jim Broadbent, Hugo Weaving","An exploration of how the actions of individual lives impact one another in the past, present and future, as one soul is shaped from a killer into a hero, and an act of kindness ripples across centuries to inspire a revolution.","Germany, USA, Hong Kong, Singapore, China",Nominated for 1 Golden Globe. Another 16 wins & 75 nominations.,67%,55,7.4,"325,605",tt1371111,movie,"$22,100,000",Warner Bros. Pictures
I'm Still Here,2010,16 Sep 2010,108 min,"Comedy, Drama, Music",Casey Affleck,"Casey Affleck, Joaquin Phoenix","Joaquin Phoenix, Antony Langdon, Carey Perloff, Larry McHale",Documents Joaquin Phoenix's transition from the acting world to a career as an aspiring rapper.,USA,1 win & 3 nominations.,53%,48,6.2,"18,570",tt1356864,movie,"$408,719",Magnolia Pictures
The Making of 'Heat',2005,27 Jul 2005,59 min,Documentary,Constantine Nasr,N/A,"Michael Mann, Chuck Adamson, Richard Lindberg, Dennis Farina","A lot of ground is covered in this thourough documentary about the making of the film Heat (1995). The origin and fruition of the story/film is explained, as well as the overall love shared...",USA,N/A,,N/A,7.3,111,tt0448618,movie,N/A,N/A
Watch What Happens: Live,2009–,16 Jun 2009,30 min,Talk-Show,N/A,N/A,Andy Cohen,Bravo network executive Andy Cohen discusses pop culture topics with celebrities and reality show personalities.,USA,1 nomination.,,N/A,5.9,434,tt2057880,series,,
IMDb on the Scene - Interviews,2018–,03 Jul 2018,N/A,Talk-Show,N/A,N/A,"Denzel Washington, Antoine Fuqua, Riz Ahmed, Joe Alwyn",IMDb takes you on the scene with interviews featuring the cast and filmmakers of up-and-coming films.,N/A,N/A,,N/A,7.2,16,tt8596744,series,,
Ellen: The Ellen DeGeneres Show,2003–,08 Sep 2003,60 min,"Comedy, Talk-Show",N/A,Ellen DeGeneres,Ellen DeGeneres,"A mix of celebrity interviews, musical performers, audience participation games, and segments spotlighting real people with extraordinary stories and talents.",USA,79 wins & 93 nominations.,,N/A,7.2,"12,855",tt0379623,series,,
Entertainment Tonight,1981–,14 Sep 1981,30 min,News,N/A,Alfred Masini,"Nancy O'Dell, Kevin Frazier, Mark Steines, Mary Hart","""Entertainment Tonight"" is the #1 syndicated entertainment newsmagazine in the world. Launched in 1981, ET is anchored by Mary Hart and Bob Goen. Primary substitute anchors are Jann Carl ...",USA,Nominated for 18 Primetime Emmys. Another 4 wins & 3 nominations.,,N/A,3.7,"1,591",tt0081857,series,,
This Changes Everything,2018,06 Oct 2018,97 min,Documentary,Tom Donahue,N/A,"Chloë Grace Moretz, Gillian Anderson, Natalie Portman, Cate Blanchett","An investigative look and analysis of gender disparity in Hollywood, featuring accounts from well-known actors, executives and artists in the Industry.",USA,N/A,,N/A,8.0,66,tt5795282,movie,N/A,N/A
CBS This Morning,1992–,09 Jan 2012,120 min,News,N/A,N/A,"Gayle King, Charlie Rose, Norah O'Donnell","A mix of news, features and interviews with notable figures in politics, business and entertainment.",USA,5 wins & 12 nominations.,,N/A,5.7,198,tt2163227,series,,
